posicao_ranking,Artista,Musica,Observacao,prob_aparecer,prob_posicao_exata,posicao_prevista,forca_musica,dropout_score,streak_anos
306,A Flock of Seagulls,I Ran (So Far Away),,0.5295592026312627,0.18144339727572753,295.2494347155196,0.56,0.0,2
307,Nirvana,Lithium,,0.48920523788042547,0.16761687812252304,255.57280329971414,0.6000000000000001,0.0,1
308,The Smiths,Bigmouth Strikes Again,,0.5350097098176891,0.18331090998415953,302.00400204196836,0.52,0.0,2
309,The Doors,Touch Me,,0.4852939701415084,0.16627675655976318,254.39010320376593,0.56,0.144,0
310,The Beatles,Helter Skelter,,0.4580331640383097,0.15693635940065004,227.74249950352362,0.6200000000000001,0.0,1
311,Asia,Only Time Will Tell,,0.5170971928404164,0.17717352644334589,288.3333013812789,0.76,0.0,3
312,Blondie,Call Me,,0.5325676913435856,0.18247419876103313,304.5963582064416,0.64,0.0,1
313,The Rolling Stones,Sympathy for the Devil,,0.47699046735447415,0.16343171912583337,249.36928670557236,0.66,0.0,1
314,Placebo,Every You Every Me,,0.5233168441657227,0.17930457177449433,301.33894255489184,0.46,0.0,2
315,Scorpions,Still Loving You,,0.4603944591400943,0.15774541229428216,240.81006815540178,0.56,0.144,0
316,Ghost,Square Hammer,,0.5225965551038909,0.17905777841550835,304.61198792919123,0.62,0.0,6
317,The Guess Who,American Woman,,0.46532204455479387,0.15943375579500302,248.06286107274795,0.65,0.048,0
318,Crash Test Dummies,Mmm Mmm Mmm Mmm,,0.5834763102802185,0.1999170695950803,366.56958823998315,0.56,0.0,3
319,Alice in Chains,Would?,,0.5088823332519191,0.17435886091685912,292.13315886497963,0.64,0.0,1
320,Arctic Monkeys,Do I Wanna Know?,,0.5435908825652953,0.18625108575336377,328.052220754271,0.46,0.0,2
321,The Clash,Rock the Casbah,,0.5201187336996658,0.17820879999875866,304.6391457757586,0.66,0.0,1
322,The Cranberries,Zombie,,0.48601173483327476,0.16652268499131825,273.1912409337798,0.5800000000000001,0.0,4
323,Black Sabbath,Sabbath Bloody Sabbath,,0.3814121934703284,0.13068363990613413,171.6914550652633,0.62,0.096,0
324,Dire Straits,Walk of Life,,0.4916052584070277,0.16843919954704828,282.16653833005626,0.6600000000000001,0.0,2
325,Def Leppard,Photograph,,0.49998664049251035,0.17131092084260813,291.353648798028,0.48,0.0,1
326,The Rolling Stones,Paint It Black,,0.4664304369258154,0.15981352537754143,257.840086613572,0.6000000000000001,0.0,2
327,The Velvet Underground,Sweet Jane,,0.5060438469887643,0.17338630754011056,298.3986176790719,0.52,0.0,2
328,Green Day,American Idiot,,0.5056148786503429,0.17323932969087263,298.87271507440977,0.48000000000000004,0.0,2
329,The Smiths,Panic,,0.49259215535116746,0.1687773410304103,285.9575056117797,0.5800000000000001,0.0,2
330,The Beach Boys,Barbara Ann,,0.462277800404957,0.15839070338851358,256.3931548553568,0.54,0.0,1
331,Hoodoo Gurus,1000 Miles Away,,0.49954713549739455,0.17116033280818777,294.4696707783994,0.6000000000000001,0.0,1
332,The Rolling Stones,Brown Sugar,,0.44918049469879345,0.15390316048362745,244.9281700813457,0.64,0.0,1
333,Van Halen,Dreams,,0.4229613216641799,0.1449196591007368,219.72448678009496,0.76,0.0,1
334,Blue Öyster Cult,Burnin' for You,,0.5160801030371359,0.17682503995057083,314.80016265507226,0.6200000000000001,0.0,1
335,Jon Bon Jovi,Blaze of Glory,,0.4750150250613272,0.16275487136450703,274.05138609116295,0.49,0.11200000000000002,0
336,New Model Army,51st State,,0.4880068377204442,0.16720626908156527,287.6511892458438,0.6600000000000001,0.0,2
337,Midnight Oil,King of the Mountain,,0.5120314687118861,0.17543785233745712,312.15915167339386,0.5,0.0,2
338,Kiss,Strutter,,0.5077954069715388,0.17398644628234694,309.05992780734914,0.5800000000000001,0.0,2
339,Electric Light Orchestra,Rock 'n' Roll Is King,,0.47025154178188666,0.1611227543419092,279.4083091515887,0.56,0.0,1
340,Oasis,Don't Look Back in Anger,,0.46273453775490864,0.15854719576184254,272.6810761629211,0.54,0.0,1
341,Icehouse,No Promises,,0.5046997356799098,0.17292577334302078,315.3021493608286,0.48000000000000004,0.0,2
342,The Beatles,All My Loving,,0.4057029293200901,0.13900639893479175,216.32013484591218,0.64,0.0,1
343,David Bowie,China Girl,,0.4622866707216691,0.1583937426339675,273.22502028765854,0.54,0.0,1
344,Oingo Boingo,Stay,,0.4644358236445216,0.15913010904144342,275.89380003762255,0.55,0.088,0
345,The Doobie Brothers,Long Train Runnin',,0.43068069285746624,0.14756455494464402,242.54120087654795,0.52,0.176,0
346,Joey Ramone,What a Wonderful World,,0.5062074639368842,0.17344236777808067,319.460857419495,0.62,0.0,5
347,Linkin Park,In the End,,0.4951321707861176,0.16964762904988043,308.76093870355703,0.44000000000000006,0.0,1
348,Social Distortion,Story of My Life,,0.538015985847702,0.1843409533359204,351.9428701791192,0.46,0.0,2
349,Bad Religion,Infected,,0.49132204637484617,0.16834216232625585,305.83136032321755,0.48,0.0,1
350,Pink Floyd,Hey You,,0.49019394155735274,0.16795563864854038,305.55084502412086,0.6200000000000001,0.0,1
351,Live,Pain Lies on the Riverside,,0.45418544748079476,0.15561801244249948,269.93417277984474,0.6200000000000001,0.0,1
352,R.E.M.,Shiny Happy People,,0.4602560229410094,0.15769797976144523,280.7478293156515,0.6400000000000001,0.0,2
353,The Smiths,The Boy with the Thorn in His Side,,0.4793030305813332,0.16422407496860097,299.9959024627089,0.54,0.0,2
354,The Strokes,Reptilia,,0.4939352203758816,0.1692375167381225,315.1991373529156,0.44,0.0,2
355,The Beatles,Drive My Car,,0.3878246745689563,0.1328807546946606,209.55064375675326,0.48,0.0,1
356,Van Halen,Ain't Talkin' 'bout Love,,0.41609662608040154,0.14256760161255502,238.4590486925542,0.6000000000000001,0.0,1
357,Don McLean,American Pie,,0.415631475667511,0.14240822666308817,238.03807260300687,0.53,0.096,0
358,The Cure,Close to Me,,0.5114258585192396,0.17523035151369165,336.43365642211126,0.46,0.0,2
359,Supertramp,The Logical Song,,0.44929373149636653,0.15394195892041448,274.9408024083392,0.6200000000000001,0.0,1
360,Bruce Springsteen,Dancing in the Dark,,0.45839748337781333,0.15706118649896944,284.762813860977,0.6000000000000001,0.0,1
361,Bachman–Turner Overdrive,Hold Back the Water,,0.47197659753322413,0.16171381191291823,301.69005783487404,0.52,0.176,0
362,Kansas,Dust in the Wind,,0.39768514594479376,0.1362592578276102,227.7269891875825,0.69,0.03200000000000001,0
363,Depeche Mode,Enjoy the Silence,,0.4467145190423877,0.15305824078725677,277.5566884595902,0.5800000000000001,0.0,2
364,ZZ Top,Sharp Dressed Man,,0.42357247414538973,0.14512905888435534,254.42025877798966,0.52,0.176,0
365,Green Day,Basket Case,,0.4567736096716955,0.15650479703293668,288.7669433788252,0.6000000000000001,0.0,2
366,Judas Priest,Turbo Lover,,0.45025126673134214,0.1542700401721082,284.0111307861029,0.54,0.0,1
367,Bon Jovi,Wanted Dead or Alive,,0.46967122100267483,0.16092391845506843,303.73715031930385,0.54,0.0,2
368,Velvet Revolver,Fall to Pieces,,0.46678561623475123,0.1599352208180798,302.17836491419195,0.52,0.0,2
369,Genesis,Invisible Touch,,0.42113866326579336,0.1442951598375134,256.92571258076475,0.48,0.0,1
370,The Beatles,Something,,0.392871297830583,0.13460988425148915,229.31168928729738,0.51,0.10400000000000001,0
371,Korn,Word Up!,,0.46732826222914525,0.1601211481558575,303.846560335315,0.44,0.0,2
372,The Cure,Lullaby,,0.44500741273786515,0.15247333325309567,282.5372190836169,0.54,0.0,1
373,The Killers,Runaways,,0.4661805305734809,0.15972789971502238,304.00356106052897,0.44000000000000006,0.0,1
374,The Cure,Inbetween Days,,0.44224620587042407,0.1515272581927054,280.61854467757416,0.48,0.32000000000000006,0
375,Aerosmith,Amazing,,0.4691847462998629,0.16075723714289722,307.66235116597096,0.6100000000000001,0.06399999999999999,0
376,Tears for Fears,Everybody Wants to Rule the World,,0.44382905636418535,0.15206959183461094,286.03812947615273,0.64,0.0,1
377,Echo & the Bunnymen,Bring On the Dancing Horses,,0.45674013998386426,0.15649332928044424,299.5967505705054,0.49,0.11200000000000002,0
378,Roxette,The Look,,0.5153532816224273,0.17657600840500953,358.8536958927101,0.46,0.0,2
379,Spy vs Spy,Clarity Of Mind,,0.4665894178469405,0.15986799716896274,312.7624100326519,0.56,0.0,2
380,Guns N' Roses,You Could Be Mine,,0.4450251384383527,0.15247940662751644,291.20707443620654,0.53,0.096,0
381,Billy Idol,Rebel Yell,,0.43693283107934516,0.14970673129353668,283.3923882157286,0.7000000000000001,0.0,3
382,Concrete Blonde,Heal It Up,,0.4944764920502976,0.1694229731912767,344.45271593269285,0.52,0.0,3
383,Elvis Presley,Jailhouse Rock,,0.3988496844271263,0.1366582648082138,248.84786415301937,0.55,0.088,0
384,Deep Purple,Perfect Strangers,,0.33399482652553775,0.11443698022090276,185.5660713608017,0.63,0.09600000000000002,0
385,4 Non Blondes,What's Up?,,0.44834104845317335,0.15361554018002616,301.1545495549883,0.6599999999999999,0.0,5
386,System of a Down,Aerials,,0.4122906613714763,0.14126356013189026,265.2614840928408,0.52,0.0,2
387,New Order,Regret,,0.4495732896731668,0.15403774421709673,302.57699370658923,0.54,0.0,2
388,Blondie,Hanging on the Telephone,,0.4207008187423205,0.1441451407321466,274.854361983317,0.44000000000000006,0.0,1
389,The Clash,London's Burning,,0.4508184396621191,0.15446437119853862,306.49703025574803,0.48,0.0,1
390,Tommy Tutone,867-5309/Jenny,,0.4381125821868517,0.1501109505910622,293.9109255829201,0.6000000000000001,0.0,1
391,The Rolling Stones,Like a Rolling Stone,,0.35583891546446034,0.1219214421805433,214.06350885353987,0.44,0.24,0
392,Counting Crows,Mr. Jones,,0.46678223860576173,0.1599340635376935,325.10954154372723,0.46,0.0,2
