ID_Musica,Artista,Musica,Genero,Pais,prob_aparicao_raw,prob_aparicao,posicao_prevista,posicao_min,posicao_max,num_aparicoes_historicas,melhor_posicao_historica,posicao_media_historica,apareceu_ano_anterior,posicao_ano_anterior,frequencia_aparicao,streak_anos,anos_desde_primeira,aparicao_unica,forca_musica,anos_desde_ultima
"AC/DC|||Baby, Please Don't Go|||NONE",AC/DC,"Baby, Please Don't Go",Hard rock,Austrália,0.5095469960318847,0.038216024702391355,312,237,387,1,426,426.0,0,,0.041666666666666664,0,23,1,0,23
Rush|||Working Man|||NONE,Rush,Working Man,Rock progressivo,Canadá,0.5093342452015185,0.03820006839011389,271,196,346,1,402,402.0,0,,0.041666666666666664,0,23,1,0,23
Saxon|||Crusader|||NONE,Saxon,Crusader,Heavy metal,Reino Unido,0.5092141177926518,0.03819105883444889,309,234,384,1,251,251.0,0,,0.041666666666666664,0,23,1,0,23
Billy Idol|||Cradle of Love|||NONE,Billy Idol,Cradle of Love,Rock,Reino Unido,0.5077471192387243,0.038081033942904324,346,271,421,1,484,484.0,0,,0.058823529411764705,0,16,1,0,16
Soul Asylum|||Somebody to Shove|||NONE,Soul Asylum,Somebody to Shove,Rock alternativo,Estados Unidos,0.5073343248125529,0.038050074360941474,316,241,391,1,354,354.0,0,,0.06666666666666667,0,14,1,0,14
Pink Floyd|||Free Four|||NONE,Pink Floyd,Free Four,Rock progressivo,Reino Unido,0.5071778349044611,0.03803833761783459,289,214,364,1,473,473.0,0,,0.058823529411764705,0,16,1,0,16
Rush|||Heart Full of Soul|||NONE,Rush,Heart Full of Soul,Rock progressivo,Canadá,0.5058367777715334,0.03793775833286501,296,221,371,1,369,369.0,0,,0.058823529411764705,0,16,1,0,16
George Harrison|||All Things Must Pass|||NONE,George Harrison,All Things Must Pass,Rock,Reino Unido,0.5058366639504676,0.03793774979628507,313,238,388,1,485,485.0,0,,0.041666666666666664,0,23,1,0,23
Wishbone Ash|||Jail Bait|||NONE,Wishbone Ash,Jail Bait,Rock progressivo,Reino Unido,0.504942029645607,0.03787065222342053,287,212,362,1,394,394.0,0,,0.05,0,19,1,0,19
Janis Joplin|||A Woman Left Lonely|||NONE,Janis Joplin,A Woman Left Lonely,Rock psicodélico,Estados Unidos,0.5049407224684191,0.03787055418513144,276,201,351,1,267,267.0,0,,0.041666666666666664,0,23,1,0,23
Them|||Gloria|||NONE,Them,Gloria,Rock de garagem,Reino Unido,0.5048696681661471,0.037865225112461036,301,226,376,1,359,359.0,0,,0.04,0,24,1,0,24
Patti Smith|||People Have the Power|||NONE,Patti Smith,People Have the Power,Art rock,Estados Unidos,0.5029454341449852,0.037720907560873894,279,204,354,1,272,272.0,0,,0.16666666666666666,0,5,1,0,5
Genesis|||The Musical Box|||NONE,Genesis,The Musical Box,Rock progressivo,Reino Unido,0.5028235464809259,0.03771176598606944,255,180,330,1,315,315.0,0,,0.041666666666666664,0,23,1,0,23
"Blood, Sweat & Tears|||You've Made Me So Very Happy|||NONE","Blood, Sweat & Tears",You've Made Me So Very Happy,Jazz fusion,Estados Unidos,0.5026810178347156,0.03770107633760368,245,170,320,1,226,226.0,0,,0.04,0,24,1,0,24
Slade|||The Bangin' Man|||NONE,Slade,The Bangin' Man,Glam rock,Reino Unido,0.5011644180430352,0.03758733135322765,248,173,323,1,329,329.0,0,,0.058823529411764705,0,16,1,0,16
Santana|||Soul Sacrifice|||NONE,Santana,Soul Sacrifice,Rock latino,Estados Unidos,0.5008019074017493,0.03756014305513121,273,198,348,1,498,498.0,0,,0.04,0,24,1,0,24
The Pretty Reckless|||Death by Rock and Roll|||NONE,The Pretty Reckless,Death by Rock and Roll,Hard rock,Estados Unidos,0.4167104444005236,0.03750393999604713,336,261,411,1,489,489.0,0,,0.2,0,4,1,0,4
"The American Breed|||Bend Me, Shape Me|||NONE",The American Breed,"Bend Me, Shape Me",Pop rock,Estados Unidos,0.4996833936064129,0.03747625452048097,321,246,396,1,480,480.0,0,,0.04,0,24,1,0,24
Phil Collins|||Sussudio|||NONE,Phil Collins,Sussudio,Pop,Reino Unido,0.4994778283731266,0.0374608371279845,270,195,345,1,168,168.0,0,,0.05,0,19,1,0,19
The Staple Singers|||I'll Take You There|||NONE,The Staple Singers,I'll Take You There,Soul,Estados Unidos,0.4994130098196641,0.037455975736474814,290,215,365,1,415,415.0,0,,0.04,0,24,1,0,24
"Buddy Holly|||Oh, Boy!|||NONE",Buddy Holly,"Oh, Boy!",Rock,Estados Unidos,0.4991404308891853,0.037435532316688905,206,131,281,1,348,348.0,0,,0.047619047619047616,0,20,1,0,20
Elvis Presley|||My Way|||NONE,Elvis Presley,My Way,Rock and roll,Estados Unidos,0.49841829350517997,0.037381372012888506,296,221,371,1,249,249.0,0,,0.0625,0,15,1,0,15
Pearl Jam|||Better Man|||acústica,Pearl Jam,Better Man,Grunge,Estados Unidos,0.4978424512929562,0.03733818384697172,297,222,372,1,379,379.0,0,,0.05263157894736842,0,18,1,0,18
New York Dolls|||Looking for a Kiss|||NONE,New York Dolls,Looking for a Kiss,Glam rock,Estados Unidos,0.4977805882933073,0.037333544121998054,327,252,402,1,481,481.0,0,,0.06666666666666667,0,14,1,0,14
Rainbow|||Catch the Rainbow|||NONE,Rainbow,Catch the Rainbow,Hard rock,Reino Unido,0.49744245675877197,0.037308184256907906,220,145,295,1,309,309.0,0,,0.041666666666666664,0,23,1,0,23
Lynyrd Skynyrd|||What's Your Name|||NONE,Lynyrd Skynyrd,What's Your Name,Southern rock,Estados Unidos,0.4963614956907962,0.03722711217680972,276,201,351,1,268,268.0,0,,0.043478260869565216,0,22,1,0,22
David Coverdale|||Don't You Cry|||NONE,David Coverdale,Don't You Cry,Rock,Reino Unido,0.4963200634826485,0.037224004761198644,273,198,348,1,467,467.0,0,,0.058823529411764705,0,16,1,0,16
Eagle-Eye Cherry|||Save Tonight|||NONE,Eagle-Eye Cherry,Save Tonight,Rock alternativo,Estados Unidos,0.49589713482597453,0.037192285111948095,359,284,434,1,462,462.0,0,,0.05555555555555555,0,17,1,0,17
The Beatles|||Dear Prudence|||NONE,The Beatles,Dear Prudence,Rock,Reino Unido,0.49585790659126194,0.03718934299434465,268,193,343,1,236,236.0,0,,0.041666666666666664,0,23,1,0,23
Iron Maiden|||Phantom of the Opera|||NONE,Iron Maiden,Phantom of the Opera,Heavy metal,Reino Unido,0.49572826409454634,0.03717961980709098,246,171,321,1,325,325.0,0,,0.08333333333333333,0,11,1,0,11
Duran Duran|||A View to a Kill|||NONE,Duran Duran,A View to a Kill,New wave,Reino Unido,0.4944880867577395,0.03708660650683047,350,275,425,1,343,343.0,0,,0.0625,0,15,1,0,15
The Black Crowes|||She Talks to Angels|||NONE,The Black Crowes,She Talks to Angels,Hard rock,Estados Unidos,0.4944502181008922,0.03708376635756692,331,256,406,1,490,490.0,0,,0.07692307692307693,0,12,1,0,12
The Alan Parsons Project|||Don't Answer Me|||NONE,The Alan Parsons Project,Don't Answer Me,Rock progressivo,Reino Unido,0.49429474467657764,0.03707210585074333,342,267,417,1,462,462.0,0,,0.047619047619047616,0,20,1,0,20
The Doors|||When the Music's Over|||NONE,The Doors,When the Music's Over,Rock psicodélico,Estados Unidos,0.4939685646025791,0.037047642345193435,268,193,343,1,333,333.0,0,,0.041666666666666664,0,23,1,0,23
The Everly Brothers|||All I Have to Do Is Dream|||NONE,The Everly Brothers,All I Have to Do Is Dream,Rockabilly,Estados Unidos,0.49334508670171906,0.03700088150262894,304,229,379,1,460,460.0,0,,0.04,0,24,1,0,24
AC/DC|||Rock 'n' Roll Singer|||NONE,AC/DC,Rock 'n' Roll Singer,Hard rock,Austrália,0.49271953234919313,0.03695396492618949,309,234,384,1,276,276.0,0,,0.09090909090909091,0,10,1,0,10
Peter Gabriel|||Shock the Monkey|||NONE,Peter Gabriel,Shock the Monkey,Rock progressivo,Reino Unido,0.4923860110773123,0.036928950830798425,306,231,381,1,264,264.0,0,,0.043478260869565216,0,22,1,0,22
Quiet Riot|||Mama Weer All Crazee Now|||NONE,Quiet Riot,Mama Weer All Crazee Now,Heavy metal,Estados Unidos,0.3516964394958506,0.03692812614706432,321,246,396,1,335,335.0,0,,0.25,0,3,1,0,3
Janis Joplin|||Maybe|||ao vivo,Janis Joplin,Maybe,Rock psicodélico,Estados Unidos,0.49199795927588996,0.036899846945691754,284,209,359,1,331,331.0,0,,0.05263157894736842,0,18,1,0,18
Jeff Healey|||I Got a Line on You|||NONE,Jeff Healey,I Got a Line on You,Blues,Canadá,0.4919123399312294,0.03689342549484221,311,236,386,1,354,354.0,0,,0.043478260869565216,0,22,1,0,22
The Velvet Underground|||Heroin|||NONE,The Velvet Underground,Heroin,Rock experimental,Estados Unidos,0.4918455214273835,0.03688841410705377,248,173,323,1,326,326.0,0,,0.047619047619047616,0,20,1,0,20
Asia|||Voice of America|||NONE,Asia,Voice of America,Rock progressivo,Reino Unido,0.49182781786718927,0.0368870863400392,287,212,362,1,159,159.0,0,,0.09090909090909091,0,10,1,0,10
Sting|||Fields of Gold|||NONE,Sting,Fields of Gold,Pop rock,Reino Unido,0.49168117689743907,0.036876088267307934,309,234,384,1,278,278.0,0,,0.05,0,19,1,0,19
Vanilla Fudge|||Take Me for a Little While|||NONE,Vanilla Fudge,Take Me for a Little While,Hard rock,Estados Unidos,0.4916600701880787,0.03687450526410591,241,166,316,1,240,240.0,0,,0.04,0,24,1,0,24
Norman Greenbaum|||Spirit in the Sky|||NONE,Norman Greenbaum,Spirit in the Sky,Rock,Estados Unidos,0.4915103131845886,0.03686327348884415,299,224,374,1,246,246.0,0,,0.04,0,24,1,0,24
Carly Simon|||You're So Vain|||NONE,Carly Simon,You're So Vain,Soft rock,Estados Unidos,0.4908954419580747,0.03681715814685561,246,171,321,1,225,225.0,0,,0.04,0,24,1,0,24
Steve Miller Band|||Fly Like an Eagle|||NONE,Steve Miller Band,Fly Like an Eagle,Blues rock,Estados Unidos,0.4908046620575542,0.03681034965431657,295,220,370,1,258,258.0,0,,0.043478260869565216,0,22,1,0,22
John Mellencamp and Meshell Ndegeocello|||Wild Night|||NONE,John Mellencamp and Meshell Ndegeocello,Wild Night,Pop rock,Estados Unidos,0.49058113367526457,0.03679358502564485,289,214,364,1,285,285.0,0,,0.1,0,9,1,0,9
Ozzy Osbourne|||Black Rain|||NONE,Ozzy Osbourne,Black Rain,Heavy metal,Reino Unido,0.49005973513567574,0.03675448013517569,352,277,427,1,387,387.0,0,,0.0625,0,15,1,0,15
The Yardbirds|||For Your Love|||NONE,The Yardbirds,For Your Love,Rock psicodélico,Reino Unido,0.48982665883006626,0.03673699941225497,316,241,391,1,151,151.0,0,,0.04,0,24,1,0,24
Bad Company|||Live For The Music|||NONE,Bad Company,Live For The Music,Blues rock,Reino Unido,0.4895505606917322,0.03671629205187992,313,238,388,1,479,479.0,0,,0.058823529411764705,0,16,1,0,16
Alice Cooper|||Under My Wheels|||NONE,Alice Cooper,Under My Wheels,Hard rock,Estados Unidos,0.4881028437093417,0.036607713278200636,295,220,370,1,341,341.0,0,,0.043478260869565216,0,22,1,0,22
Paul McCartney|||My Love|||NONE,Paul McCartney,My Love,Rock,Reino Unido,0.4879289326461269,0.03659466994845952,290,215,365,1,417,417.0,0,,0.04,0,24,1,0,24
